ItemId,Group,Category,Type,Brand,Texture,Color,Thickness,Size,ItemCode,ItemName,MinStockQty,StandardUoM,IndUoM,PackUoM,PackQty
125,Paper,Envelope,Kraft,Trojan,,Golden Brown,,9x15in,PAENVKRF Trojan-GOL-9x15in 500/B,#NAME?,,box,piece,box,500
126,Paper,Envelope,Kraft,Trojan Documentary,,Golden Brown,#150,9x12in,PAENVKRF Trojan Documentary-GOL-#150-9x12in 500/B,#NAME?,,box,piece,box,500
127,Paper,Folder,Long,Bigyield,,White,,8.5x13,PAFLDLNG Bigyield-WHI-8.5x13 100/B,#NAME?,,bundle,piece,bundle,100
128,Paper,Folder,Short,Bigyield,,White,,8.5x11,PAFLDSRT Bigyield-WHI-8.5x11 100/B,#NAME?,,bundle,piece,bundle,100
129,Paper,Board,Card,Triplex,Vellum,White,#100,22.5x28.5in,PABRDCRD Triplex-V1-WHI-#100-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
130,Paper,Board,Card,Triplex,Vellum,White,#120,22.5x28.5in,PABRDCRD Triplex-V1-WHI-#120-22.5x28.5in 9999/B,#NAME?,,bundle,sheet,bundle,9999
131,Paper,Sticker,Book B/B,Yunitrade,Uncoated,White,,15.5x10.5in,PASTKBKB Yunitrade-UC-WHI-15.5x10.5in 1000/B,#NAME?,,bundle,piece,bundle,1000
132,Paper,Sticker,Book B/B,Yunitrade,Uncoated,White,,A4,PASTKBKB Yunitrade-UC-WHI-A4 1000/B,#NAME?,,bundle,piece,bundle,1000
133,Paper,Sticker,Book B/B,Yunitrade,Uncoated,White,,10x21,PASTKBKB Yunitrade-UC-WHI-10x21 1000/B,#NAME?,,bundle,piece,bundle,1000
134,Paper,Sticker,Book Y/B,Yunitrade,Uncoated,White,,A4,PASTKBKY Yunitrade-UC-WHI-A4 1000/B,#NAME?,,bundle,piece,bundle,1000
135,Paper,Sticker,Book Y/B,Yunitrade,Uncoated,White,,9x12in,PASTKBKY Yunitrade-UC-WHI-9x12in 1000/B,#NAME?,,bundle,piece,bundle,1000
136,Paper,Sticker,Book Y/B,Yunitrade,Uncoated,White,,24x36in,PASTKBKY Yunitrade-UC-WHI-24x36in 100/B,#NAME?,,bundle,piece,bundle,100
137,Paper,Sticker,Book W/B,Yunitrade,Uncoated,White,,24x36in,PASTKBKW Yunitrade-UC-WHI-24x36in 100/B,#NAME?,,bundle,piece,bundle,100
138,Paper,Sticker,Satin Y/B,Yunitrade,Gloss,White,,24x36in,PASTKSTY Yunitrade-G2-WHI-24x36in 100/B,#NAME?,,bundle,piece,bundle,100
139,Paper,Sticker,Neon,Yunitrade,Uncoated,Green,,24x36in,PASTKNEO Yunitrade-UC-GRE-24x36in 100/B,#NAME?,,bundle,piece,bundle,100
140,Paper,Special Paper,,Astrobright,,Lemon,89gsm,,PASPL Astrobright-LEM-89gsm 9999/P,#NAME?,,pack,sheet,pack,9999
141,Paper,Special Paper,,Astrobright,,Green,89gsm,,PASPL Astrobright-GRE-89gsm 9999/P,#NAME?,,pack,sheet,pack,9999
142,Paper,Coated 2-Sides,,triplex,gloss,white,220,25x38,PAC2S triplex-G2-WHI-220-25x38 200/R,#NAME?,,ream,sheet,ream,200
143,Hide,,,,,,,,,#NAME?,,NA,NA,,
144,Hide,,,,,,,,,#NAME?,,NA,NA,,
145,Hide,,,,,,,,,#NAME?,,NA,NA,,
146,Hide,,,,,,,,,#NAME?,,NA,NA,,
147,Hide,,,,,,,,,#NAME?,,NA,NA,,
148,Hide,,,,,,,,,#NAME?,,NA,NA,,
149,Hide,,,,,,,,,#NAME?,,NA,NA,,
150,Hide,,,,,,,,,#NAME?,,NA,NA,,
151,Hide,,,,,,,,,#NAME?,,NA,NA,,
152,Hide,,,,,,,,,#NAME?,,NA,NA,,
153,Hide,,,,,,,,,#NAME?,,NA,NA,,
154,Hide,,,,,,,,,#NAME?,,NA,NA,,
155,Hide,,,,,,,,,#NAME?,,NA,NA,,
156,Hide,,,,,,,,,#NAME?,,NA,NA,,
157,Hide,,,,,,,,,#NAME?,,NA,NA,,
158,Hide,,,,,,,,,#NAME?,,NA,NA,,
159,Hide,,,,,,,,,#NAME?,,NA,NA,,
160,Hide,,,,,,,,,#NAME?,,NA,NA,,
161,Hide,,,,,,,,,#NAME?,,NA,NA,,
162,Hide,,,,,,,,,#NAME?,,NA,NA,,
163,Hide,,,,,,,,,#NAME?,,NA,NA,,
164,Hide,,,,,,,,,#NAME?,,NA,NA,,
165,Paper,Carbonless Paper,,Goldmark,CF,Blue,,22x34in,PACBP Goldmark-CF-BLU-22x34in 500/R,#NAME?,,ream,sheet,ream,500
166,Paper,Carbonless Paper,,Goldmark,CF,Green,,22x34in,PACBP Goldmark-CF-GRE-22x34in 500/R,#NAME?,,ream,sheet,ream,500
167,Paper,Carbonless Paper,,Goldmark,CF,Pink,,22x34in,PACBP Goldmark-CF-PIN-22x34in 500/R,#NAME?,,ream,sheet,ream,500
168,Paper,Carbonless Paper,,Goldmark,CF,White,,22x34in,PACBP Goldmark-CF-WHI-22x34in 500/R,#NAME?,,ream,sheet,ream,500
169,Paper,Carbonless Paper,,Goldmark,CF,Yellow,,22x34in,PACBP Goldmark-CF-YEL-22x34in 500/R,#NAME?,,ream,sheet,ream,500
170,Paper,Carbonless Board,Tag,Triplex,CF,White,125gsm,28x34in,PACBBTAG Triplex-CF-WHI-125gsm-28x34in 250/R,#NAME?,,ream,sheet,ream,250
171,Paper,Envelope,Windowless,Trojan,,White,,9.5x4.25in,PAENVWDL Trojan-WHI-9.5x4.25in 500/B,#NAME?,,box,piece,box,500
172,Consumables,Chemicals,Gum Solution,,,,,,COCHMGMS  ,#NAME?,,bottle,bottle,,
173,Consumables,Chemicals,Fountain Solution,DYNA 200 FA,,,,Liters,COCHMFNS DYNA 200 FA-Liters ,#NAME?,,bottle,bottle,,
174,Consumables,Chemicals,Phosporic Acid,,,,,,COCHMPHA  ,#NAME?,,bottle,bottle,,
175,Consumables,Chemicals,Lacquer Thinner,,,,,,COCHMLCT  ,#NAME?,,bottle,bottle,,
176,Consumables,Chemicals,Motor Oil,,,,,,COCHMMTO  ,#NAME?,,bottle,bottle,,
177,Consumables,Chemicals,Ink Reducer,,,,,,COCHMINR  ,#NAME?,,bottle,bottle,,
178,Consumables,Chemicals,Singer Oil,,,,,,COCHMSNO  ,#NAME?,,bottle,bottle,,
179,Consumables,Chemicals,Glycerine,,,,,,COCHMGLY  ,#NAME?,,bottle,bottle,,
180,Consumables,Chemicals,Mineral Oil,,,,,,COCHMMNO  ,#NAME?,,bottle,bottle,,
181,Consumables,Chemicals,Cyanoacrylate Adhesive,Pacmac,,,,,COCHM Pacmac ,#NAME?,,bottle,bottle,,
182,Consumables,Maintenance Materials,Laundry Bar,,,,,,COMNTLNB  ,#NAME?,,piece,piece,,
183,Consumables,Maintenance Materials,Laundry Powder,,,,,,COMNTLNP  ,#NAME?,,piece,piece,,
184,Consumables,Maintenance Materials,All-Purpose Cleanser,ajax/zim,,,,,COMNTAPC ajax/zim ,#NAME?,,piece,piece,,
185,Consumables,Maintenance Materials,Cotton Balls,,,,,,COMNTCTB  ,#NAME?,,pack,pack,,
186,Consumables,Maintenance Materials,Cotton Rags,,,,,,COMNTCTR  9999/P,#NAME?,,pack,piece,pack,9999
187,Consumables,Maintenance Materials,Floor Wax,,,,,,COMNTFLW  ,#NAME?,,piece,piece,,
188,Consumables,Maintenance Materials,Garbage Bag,,,,,S,COMNTGBG -S 100/P,#NAME?,,pack,piece,pack,100
189,Consumables,Maintenance Materials,Garbage Bag,,,,,XL,COMNTGBG -XL 100/P,#NAME?,,pack,piece,pack,100
190,Consumables,Maintenance Materials,Mophead Refill,,,,,,COMNTMHR  ,#NAME?,,piece,piece,,
191,Consumables,Maintenance Materials,Alcohol,,,,,500ml,COMNTALC -500ml ,#NAME?,,bottle,bottle,,
192,Consumables,Maintenance Materials,Industrial Sponge,Viscovita,,,,,COMNTISP Viscovita 99/B,#NAME?,,bundle,piece,bundle,99
193,Consumables,Finishing Materials,Padding Cement,Stikwel,,Red,,4kg,COFINPDC Stikwel-RED-4kg ,#NAME?,,bottle,bottle,,
194,Consumables,Finishing Materials,Flap Glue,,,,,,COFIN  ,#NAME?,,bottle,bottle,,
195,Consumables,Finishing Materials,Magnetic Wire,,,,,#31,COFINMGW -#31 ,#NAME?,,roll,roll,,
196,Consumables,Finishing Materials,Metal Eyelet,,,,,,COFINMTE  ,#NAME?,,box,box,,
197,Consumables,Finishing Materials,Nylon String,,,,,,COFINNLS  999/B,#NAME?,,bundle,roll,bundle,999
198,Consumables,Finishing Materials,Plastic,,,,,7x10,COFINPLS -7x10 ,#NAME?,,piece,piece,,
199,Consumables,Finishing Materials,Plastic,,,,,10x15/10x14,COFINPLS -10x15/10x14 ,#NAME?,,piece,piece,,
200,Consumables,Finishing Materials,Gummed Tape,kraft,,brown,,2 inches,COFINGMT kraft-BRO-2 inches 99/B,#NAME?,,bundle,roll,bundle,99
201,Consumables,Finishing Materials,Laminating Film,,,,125microns,,COFINLMF -125microns ,#NAME?,,piece,piece,,
202,Consumables,Finishing Materials,Laminating Film,,,,250microns,,COFINLMF -250microns ,#NAME?,,piece,piece,,
