Group,Category,Type,Brand,Texture,Color,Thickness,Size,MinStockQty,IndUoM,PackUoM,PackQty
Consumables,Maintenance Materials,Garbage Bag,,,,,XL,,piece,pack,100
Consumables,Maintenance Materials,Mophead Refill,,,,,,,piece,,
Consumables,Maintenance Materials,Alcohol,,,,,500ml,,bottle,,
Consumables,Maintenance Materials,Industrial Sponge,Viscovita,,,,,,piece,,
Consumables,Finishing Materials,Padding Cement,Stikwel,,Red,,4kg,,bottle,,
Consumables,Finishing Materials,Flap Glue,,,,,,,bottle,,
Consumables,Finishing Materials,Magnetic Wire,,,,,#31,,roll,,
Consumables,Finishing Materials,Metal Eyelet,,,,,,,box,,
Consumables,Finishing Materials,Nylon String,,,,,,,roll,,
Consumables,Finishing Materials,Plastic,,,,,7x10,,piece,,
Consumables,Finishing Materials,Plastic,,,,,10x15/10x14,,piece,,
Consumables,Finishing Materials,Gummed Tape,kraft,,brown,,2 inches,,roll,,
Consumables,Finishing Materials,Laminating Film,,,,125microns,,,piece,,
Consumables,Finishing Materials,Laminating Film,,,,250microns,,,piece,,
Office Supplies,Stationary and Supplies,Permanent Marker Ink Refill,,,Black,,,,bottle,,
Consumables,Ink,Akinto,,,Black,,,,can,,
Consumables,Ink,Mimeo,Daito,,,,,,can,,
Consumables,Ink,Offset,Druckmeister,,Magenta,,1kg,,can,,
Consumables,Ink,Offset,Druckmeister,,Cyan,,1kg,,can,,
Consumables,Ink,,Jet Speed,,Magenta,,2kg,,can,,
Consumables,Ink,,Jet Speed O/S,,Red,,2KG,,can,,
Consumables,Ink,Offset,Kolora carbo,,Black,,1kg,,can,,
Consumables,Ink,,Jet Speed,,Black,,2kg,,can,,
Consumables,Ink,,Wico,,Job Black,,1kg,,can,,
Consumables,Ink,,Wico,,Bright Red,,1kg,,can,,
Consumables,Ink,Offset Mixing White,Kolora,,,,3kg,,can,,
Consumables,Ink,,Nippon Speed,,Cyan,,1kg,,can,,
Consumables,Ink,,Nippon Speed,,Cyan,,2.5kg,,can,,
Consumables,Ink,,Nippon Speed,,Magenta,,2.5kg,,can,,
Consumables,Ink,,Nippon Speed,,Yellow,,2.5kg,,can,,
Consumables,Ink,,Nippon Speed,,Black,,2.5kg,,can,,
Consumables,Ink,,Imperial,,Reflex Blue,,2kg,,can,,
Consumables,Ink,,Imperial,,Warm Red,,2kg,,can,,
Consumables,Ink,,Unipak,,Gold,,,,can,,
Consumables,Ink,Continuous,,,Black,,,,can,,
Consumables,Ink,Continuous,,,Blue/cyan,,,,can,,
Consumables,Ink,Continuous,,,Magenta,,,,can,,
Consumables,Ink,Continuous,,,Yellow,,,,can,,
Consumables,Ink,Cartridge,HP678,,,,,,can,,
Consumables,Machine Consumables,Plate Cleaner,,,,,,,bottle,,
Consumables,Machine Consumables,Swell Blanket Repair,,,,,,,bottle,,
Consumables,Machine Consumables,Spray Powder,,,,,,,piece,,
Consumables,Machine Consumables,Blanket Cleaner,,,,,,,piece,,
Consumables,Machine Consumables,Miscible Blanket,SORMZ,,,,740x660,,piece,,
Consumables,Machine Consumables,Miscible Blanket,GTO,,,,518x445,,piece,,
Consumables,Machine Consumables,Miscible Blanket,KORS,,,,740x660,,piece,,
Consumables,Machine Consumables,Molleton Cloth,GTO,,,,,,strip,,
Consumables,Machine Consumables,Molleton Cloth,SORMZ,,,,#6,,strip,,
Consumables,Machine Consumables,Molleton Cloth,KORS,,,,#7,,strip,,
Consumables,Machine Consumables,Molleton Cloth,KORS,,,,#8,,strip,,
